onset_index,end_index,n_windows,max_profile
138,234,1,11.279059643081991
772,868,1,11.330319294947275
1335,1431,1,11.17625782131439
1442,1538,1,11.340685906328932
2143,2239,1,11.301771591913635
2778,2874,1,11.308375186295962
3461,3557,1,11.285044110470347
4116,4212,1,11.342205615415622
4769,4865,1,11.420264352082578
5418,5514,1,11.413165157252426
8119,8215,1,11.363366382586072
12740,12836,1,11.248446215517236
14824,14920,1,11.42504591650429
14969,15065,1,11.330730959031202
16898,16994,1,11.185178540579031
17511,17607,1,11.281949800196399
17613,17709,1,11.230314378075592
18288,18384,1,11.176289074140493
18945,19041,1,11.456062128733475
19585,19681,1,11.568670308553173
20889,20985,1,11.434217863317503
21571,21667,1,11.356033835618332
22274,22370,1,11.35453163568827
22861,22957,1,11.303950770959144
23639,23735,1,11.31486315941951
24287,24383,1,11.257984532120984
24875,24971,1,11.203320059394425
25547,25643,1,11.311613625267613
25647,25743,1,11.40770641113493
26030,26126,1,11.3000006076395
